OBJECTID,STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,SDADMLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape__Area,Shape__Length
1,12, , ,00180, ,1200180,Broward County School District,00,PK,12,G5420, ,E,3115520740,273292462,+26.1935353,-080.4766834,2022,2021-2022,0.285702927553075,3.39799026620443
2,12, , ,00240, ,1200240,Charlotte County School District,00,PK,12,G5420, ,E,1764086777,689242502,+26.9063964,-082.0036572,2022,2021-2022,0.166429226079117,8.1486771998276
3,12, , ,00330, ,1200330,Collier County School District,00,PK,12,G5420, ,E,5171811319,1575210651,+26.1187860,-081.4009553,2022,2021-2022,0.476552183630474,11.4692210426021
4,12, , ,00390, ,1200390,Dade County School District,00,PK,12,G5420, ,E,4920781681,1267531174,+25.6160085,-080.5037495,2022,2021-2022,0.461944848174085,8.40153528423963
5,12, , ,00420, ,1200420,DeSoto County School District,00,PK,12,G5420, ,E,1649031787,6243548,+27.1905809,-081.8062531,2022,2021-2022,0.150755334362429,1.6043055005961
6,12, , ,00660, ,1200660,Glades County School District,00,PK,12,G5420, ,E,2089659352,467293938,+26.9548102,-081.1908197,2022,2021-2022,0.232409598867662,2.28788714105069
7,12, , ,00750, ,1200750,Hardee County School District,00,PK,12,G5420, ,E,1651297014,1472455,+27.4928458,-081.8215798,2022,2021-2022,0.150934956079482,1.60092977210938
8,12, , ,00780, ,1200780,Hendry County School District,00,PK,12,G5420, ,E,2993896404,86578552,+26.5399670,-081.1521142,2022,2021-2022,0.279024040278273,2.75209599674724
9,12, , ,00840, ,1200840,Highlands County School District,00,PK,12,G5420, ,E,2635726558,230667873,+27.3410799,-081.3423534,2022,2021-2022,0.261420703561498,2.91571057679977
10,12, , ,00870, ,1200870,Hillsborough County School District,00,PK,12,G5420, ,E,2648267124,790775123,+27.8931535,-082.3799907,2022,2021-2022,0.253653608546529,7.74199446617824
11,12, , ,00930, ,1200930,Indian River County School District,00,PK,12,G5420, ,E,1301540085,295514461,+27.7005283,-080.5747894,2022,2021-2022,0.121791713952916,3.45278347578978
12,12, , ,01080, ,1201080,Lee County School District,00,PK,12,G5420, ,E,2022848995,1900537643,+26.5632731,-081.9841817,2022,2021-2022,0.191385308035706,12.6895710649998
13,12, , ,01230, ,1201230,Manatee County School District,00,PK,12,G5420, ,E,1923744063,573084393,+27.4755558,-082.3931438,2022,2021-2022,0.177646817893674,6.75158862928526
14,12, , ,01290, ,1201290,Martin County School District,00,PK,12,G5420, ,E,1408493389,542089457,+27.0836036,-080.3982011,2022,2021-2022,0.154226292916974,4.49845572309479
15,12, , ,01320, ,1201320,Monroe County School District,00,PK,12,G5420, ,E,2546044689,11153864839,+25.5861198,-081.0226025,2022,2021-2022,0.240543005813379,32.9969773814926
16,12, , ,01410, ,1201410,Okeechobee County School District,00,PK,12,G5420, ,E,1992442653,317924583,+27.3855924,-080.8873884,2022,2021-2022,0.210789964725109,2.67565552005557
17,12, , ,01470, ,1201470,Osceola County School District,00,PK,12,G5420, ,E,3438319511,462144531,+28.0590267,-081.1393116,2022,2021-2022,0.358033558068428,3.42139590909887
18,12, , ,01500, ,1201500,Palm Beach County School District,00,PK,12,G5420, ,E,5087491660,1084969380,+26.6491257,-080.4483542,2022,2021-2022,0.519340005703725,5.50592039715865
19,12, , ,01560, ,1201560,Pinellas County School District,00,PK,12,G5420, ,E,709087754,1535985874,+27.9053425,-082.7980663,2022,2021-2022,0.0676511279295937,8.91854767841913
20,12, , ,01590, ,1201590,Polk County School District,00,PK,12,G5420, ,E,4657154151,549789492,+27.9536488,-081.6935336,2022,2021-2022,0.47746450438126,3.79776870385803
21,12, , ,01680, ,1201680,Sarasota County School District,00,PK,12,G5420, ,E,1440049632,1086618344,+27.2253265,-082.4237137,2022,2021-2022,0.135898422467562,5.70521253804044
22,12, , ,01770, ,1201770,St. Lucie County School District,00,PK,12,G5420, ,E,1481145193,300766786,+27.3798137,-080.4435357,2022,2021-2022,0.135967636959549,3.47702569662393
23,48, , ,43650, ,4843650,United Independent School District,00,PK,12,G5420, ,E,6413383632,32157774,+27.8560208,-099.4305607,2022,2021-2022,0.590500006995626,5.04826827346518
24,48, , ,44810, ,4844810,Webb Consolidated Independent School District,00,PK,12,G5420, ,E,2258759670,3895747,+27.5015800,-098.9994410,2022,2021-2022,0.206655306466928,2.4061179341563
25,48, , ,39000, ,4839000,San Perlita Independent School District,00,PK,12,G5420, ,E,400522543,306390507,+26.5600555,-097.4768137,2022,2021-2022,0.0369529734455227,3.26907799284823
26,48, , ,37740, ,4837740,Roma Independent School District,00,PK,12,G5420, ,E,1321486023,9670581,+26.6111370,-098.9041734,2022,2021-2022,0.12062928211617,1.96920282031572
27,48, , ,24750, ,4824750,Jim Hogg County Independent School District,00,PK,12,G5420, ,E,2942674729,92565,+27.0532315,-098.7475716,2022,2021-2022,0.267680182464801,2.27206743497393
28,48, , ,26850, ,4826850,Lasara Independent School District,00,PK,12,G5420, ,E,155509977,15396131,+26.4942129,-097.9303448,2022,2021-2022,0.0154728695499671,0.524819477822218
29,48, , ,27990, ,4827990,London Independent School District,00,PK,12,G5420, ,E,224856569,574283,+27.6191979,-097.4785792,2022,2021-2022,0.0206033548654432,0.655481143522374
30,48, , ,38820, ,4838820,San Diego Independent School District,00,PK,12,G5420, ,E,1314005981,2885418,+27.7997279,-098.3324216,2022,2021-2022,0.120608949372581,2.02060032454277
31,48, , ,99130, ,4899130,Benavides Independent School District,00,PK,12,G5420, ,E,1925288338,559274,+27.5643686,-098.5899837,2022,2021-2022,0.175976236820588,3.05994846339891
32,48, , ,08550, ,4808550,Aransas County Independent School District,00,PK,12,G5420, ,E,605696834,692880215,+28.0796638,-096.9758090,2022,2021-2022,0.0570824783037551,8.69953147138911
33,48, , ,35370, ,4835370,Port Aransas Independent School District,00,PK,12,G5420, ,E,65922304,218302764,+27.7348700,-097.1310119,2022,2021-2022,0.00564241431129631,3.33279558525379
34,48, , ,07530, ,4807530,Agua Dulce Independent School District,00,PK,12,G5420, ,E,253015088,79623,+27.7783394,-097.9255475,2022,2021-2022,0.023172278402626,0.792214686418148
35,48, , ,10260, ,4810260,Bishop Consolidated Independent School District,00,PK,12,G5420, ,E,438075868,1038122,+27.6647933,-097.6233448,2022,2021-2022,0.040147231766241,1.45630533501843
36,48, , ,43350, ,4843350,Tuloso-Midway Independent School District,00,PK,12,G5420, ,E,113468427,15663613,+27.7972108,-097.5417255,2022,2021-2022,0.0105764524985261,0.713694945862085
37,48, , ,17550, ,4817550,Driscoll Independent School District,00,PK,12,G5420, ,E,120522925,2096,+27.6495846,-097.7416587,2022,2021-2022,0.0110249442407166,0.814039671866062
38,48, , ,37440, ,4837440,Robstown Independent School District,00,PK,12,G5420, ,E,210387725,0,+27.7672164,-097.6832677,2022,2021-2022,0.0192603328880523,0.627884786316119
39,48, , ,45120, ,4845120,West Oso Independent School District,00,PK,12,G5420, ,E,114611402,0,+27.7362751,-097.5228981,2022,2021-2022,0.010489393570424,0.556340350783714
40,48, , ,19380, ,4819380,Flour Bluff Independent School District,00,PK,12,G5420, ,E,144902263,310017050,+27.6728893,-097.2537962,2022,2021-2022,0.0144876329409271,3.19084203587389
41,48, , ,24180, ,4824180,Ingleside Independent School District,00,PK,12,G5420, ,E,59168741,1572153,+27.8706078,-097.2079061,2022,2021-2022,0.00529215278629636,0.408898028624478
42,48, , ,26070, ,4826070,La Gloria Independent School District,00,PK,12,G5420, ,E,118848295,0,+27.2929009,-098.1430942,2022,2021-2022,0.0108343102906474,0.473708978458447
43,48, , ,36420, ,4836420,Ramirez Common School District,00,PK,12,G5420, ,E,323331638,273724,+27.3224705,-098.3951367,2022,2021-2022,0.0295077732002937,0.998481114258568
44,48, , ,29400, ,4829400,Mathis Independent School District,00,PK,12,G5420, ,E,402888596,40265688,+28.0890326,-097.7995535,2022,2021-2022,0.0406897402328923,1.65337742391176
45,48, , ,40410, ,4840410,Skidmore-Tynan Independent School District,00,PK,12,G5420, ,E,659835752,63565,+28.2492713,-097.6759780,2022,2021-2022,0.0606781407616381,1.71206141074733
46,48, , ,35760, ,4835760,Premont Independent School District,00,PK,12,G5420, ,E,435595581,222992,+27.4062417,-098.1884379,2022,2021-2022,0.0397704464598974,1.00208590389998
47,48, , ,09870, ,4809870,Ben Bolt-Palito Blanco Independent School District,00,PK,12,G5420, ,E,357231704,84375,+27.5784695,-098.1215247,2022,2021-2022,0.0326555651377021,0.887914514643019
48,48, , ,46380, ,4846380,Woodsboro Independent School District,00,PK,12,G5420, ,E,520879529,39319813,+28.1852110,-097.3544367,2022,2021-2022,0.0482883639942884,1.73905410488434
49,48, , ,07800, ,4807800,Alice Independent School District,00,PK,12,G5420, ,E,778575366,2061612,+27.8282705,-098.1211800,2022,2021-2022,0.0715010608096236,1.79261867931714
50,48, , ,33720, ,4833720,Orange Grove Independent School District,00,PK,12,G5420, ,E,474140151,5862369,+27.9837707,-097.9681786,2022,2021-2022,0.0440270038627659,1.03977957375387
51,48, , ,37320, ,4837320,Riviera Independent School District,00,PK,12,G5420, ,E,1315484256,539237952,+27.4432545,-097.5034993,2022,2021-2022,0.120793719548828,6.930076521411
52,48, , ,11580, ,4811580,Brooks County Independent School District,00,PK,12,G5420, ,E,2443277014,741627,+27.0349936,-098.2152756,2022,2021-2022,0.222289952759411,2.05636569353171
