Group,Admin,Grade,STAAR - Reading - Number Tested,STAAR - Reading - Average Scale Score,STAAR - Reading - Did Not Meet - %,STAAR - Reading - Approaches - %,STAAR - Reading - Meets - %,STAAR - Reading - Masters - %,Org Id
A W BROWN LEADERSHIP ACADEMY,Spring 2017,3,221,1326,56,44,16,6,57816
Hispanic/Latino,Spring 2017,3,8,1326,50,50,25,12,57816
Black or African American,Spring 2017,3,213,1326,56,44,15,6,57816
A W BROWN LEADERSHIP ACADEMY,Spring 2018,3,193,1387,37,63,25,13,57816
Hispanic/Latino,Spring 2018,3,3,0,0,0,0,0,57816
Asian,Spring 2018,3,1,0,0,0,0,0,57816
Black or African American,Spring 2018,3,188,1386,37,63,24,13,57816
White,Spring 2018,3,1,0,0,0,0,0,57816
A W BROWN LEADERSHIP ACADEMY,Spring 2019,3,145,1381,43,57,26,16,57816
Hispanic/Latino,Spring 2019,3,5,1316,60,40,40,0,57816
American Indian or Alaskan Native,Spring 2019,3,1,0,0,0,0,0,57816
Black or African American,Spring 2019,3,135,1381,44,56,25,16,57816
Two or More Races,Spring 2019,3,3,0,0,0,0,0,57816
No Ethnicity Provided,Spring 2019,3,1,0,0,0,0,0,57816
A W BROWN LEADERSHIP ACADEMY,Spring 2021,3,27,1380,33,67,33,11,57816
Black or African American,Spring 2021,3,27,1380,33,67,33,11,57816
A W BROWN LEADERSHIP ACADEMY,Spring 2022,3,88,1370,47,53,28,9,57816
Black or African American,Spring 2022,3,81,1377,44,56,30,10,57816
No Ethnicity Provided,Spring 2022,3,7,1284,71,29,14,0,57816
A+ ACADEMY,Spring 2017,3,74,1328,55,45,16,5,57829
Hispanic/Latino,Spring 2017,3,69,1333,54,46,17,6,57829
Black or African American,Spring 2017,3,3,0,0,0,0,0,57829
White,Spring 2017,3,1,0,0,0,0,0,57829
Two or More Races,Spring 2017,3,1,0,0,0,0,0,57829
A+ ACADEMY,Spring 2018,3,98,1348,48,52,22,3,57829
Hispanic/Latino,Spring 2018,3,93,1349,48,52,22,3,57829
Asian,Spring 2018,3,1,0,0,0,0,0,57829
White,Spring 2018,3,4,0,0,0,0,0,57829
A+ ACADEMY,Spring 2019,3,96,1348,54,46,19,7,57829
Hispanic/Latino,Spring 2019,3,90,1348,53,47,19,7,57829
Black or African American,Spring 2019,3,2,0,0,0,0,0,57829
