group,Parish,Advanced,Mastery,Basic,Approaching Basic,Unsatisfactory 
001,ACADIA,3,37,22,18,20
002,ALLEN,4,33,19,22,21
003,ASCENSION,7,46,21,14,12
004,ASSUMPTION,2,25,24,30,19
005,AVOYELLES,2,23,24,25,27
006,BEAUREGARD,?1,31,24,23,21
007,BIENVILLE,2,31,24,25,19
008,BOSSIER,5,38,20,19,17
009,CADDO,3,24,18,23,32
010,CALCASIEU,5,40,24,18,14
011,CALDWELL,3,48,16,15,17
012,CAMERON,7,38,17,14,24
013,CATAHOULA,?1,18,39,23,20
014,CLAIBORNE,2,21,18,26,33
015,CONCORDIA,2,29,18,21,31
016,DESOTO,7,38,23,19,13
017,EAST BATON ROUGE,5,30,19,20,26
018,EAST CARROLL,?1,7,9,26,57
019,EAST FELICIANA,2,27,21,26,24
020,EVANGELINE,3,28,22,21,26
021,FRANKLIN,2,16,20,24,38
022,GRANT,2,35,29,20,13
023,IBERIA,3,40,24,18,14
024,IBERVILLE,4,33,22,21,21
025,JACKSON,?1,22,25,28,25
026,JEFFERSON,6,27,18,18,31
027,JEFFERSON DAVIS,5,40,22,17,16
028,LAFAYETTE,6,42,21,16,15
029,LAFOURCHE,9,40,19,15,17
030,LASALLE,3,46,25,16,10
031,LINCOLN,6,35,23,19,18
032,LIVINGSTON,4,40,25,18,14
033,MADISON,?1,9,8,21,63
034,MOREHOUSE,?1,10,19,23,48
035,NATCHITOCHES,6,34,16,20,24
R36,ORLEANS,3,22,17,20,38
037,OUACHITA,4,39,24,17,17
038,PLAQUEMINES,6,43,23,13,15
039,POINTE COUPEE,?1,27,19,20,32
040,RAPIDES,4,38,22,19,17
041,RED RIVER,?1,24,21,25,31
042,RICHLAND,?1,18,17,26,38
043,SABINE,2,40,24,15,19
044,ST. BERNARD,4,37,19,20,19
045,ST. CHARLES,4,39,23,18,16
046,ST. HELENA,?1,18,14,23,46
047,ST. JAMES,4,37,25,16,18
048,ST. JOHN THE BAPTIST,4,20,21,20,35
049,ST. LANDRY,2,25,23,23,27
050,ST. MARTIN,3,32,22,20,23
051,ST. MARY,3,28,28,21,20
052,ST. TAMMANY,8,47,21,13,11
053,TANGIPAHOA,2,26,19,20,34
054,TENSAS,?1,8,21,25,46
055,TERREBONNE,8,38,22,16,17
056,UNION,?1,19,19,17,44
057,VERMILION,6,45,26,15,8
058,VERNON,4,40,28,16,11
059,WASHINGTON,?1,29,19,31,21
060,WEBSTER,?1,20,19,23,37
061,WEST BATON ROUGE,3,39,26,21,12
062,WEST CARROLL,?1,39,21,21,19
063,WEST FELICIANA,8,38,28,24,3
064,WINN,?1,32,20,25,23
065,CITY OF MONROE SCHOOL DISTRICT,?1,25,26,24,23
066,CITY OF BOGALUSA SCHOOL DISTRICT,?1,10,12,31,47
067,ZACHARY COMMUNITY SCHOOL DISTRICT,7,49,21,14,9
068,CITY OF BAKER SCHOOL DISTRICT,?1,10,21,29,40
069,CENTRAL COMMUNITY SCHOOL DISTRICT,6,44,27,14,10
