ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type
A W BROWN LEADERSHIP ACADEMY,Spring 2022,3,47,53,28,9,57816,STAAR - Reading
A+ ACADEMY,Spring 2022,3,54,46,26,13,57829,STAAR - Reading
ABBOTT ISD,Spring 2022,3,11,89,74,47,109901,STAAR - Reading
ABERNATHY ISD,Spring 2022,3,21,79,48,29,95901,STAAR - Reading
ABILENE ISD,Spring 2022,3,31,69,40,21,221901,STAAR - Reading
ACADEMY ISD,Spring 2022,3,17,83,58,36,14901,STAAR - Reading
ACADEMY OF ACCELERATED LEARNING INC,Spring 2022,3,40,60,34,17,101810,STAAR - Reading
ACADEMY OF DALLAS (057810),Spring 2022,3,67,33,17,0,57810,STAAR - Reading
ACCELERATED INTERMEDIATE ACADEMY,Spring 2022,3,11,89,47,16,101849,STAAR - Reading
ADRIAN ISD,Spring 2022,3,11,89,44,33,180903,STAAR - Reading
ADVANTAGE ACADEMY (057806),Spring 2022,3,54,46,25,10,57806,STAAR - Reading
AGUA DULCE ISD,Spring 2022,3,5,95,77,41,178901,STAAR - Reading
ALAMO HEIGHTS ISD,Spring 2022,3,7,93,78,57,15901,STAAR - Reading
ALBA-GOLDEN ISD,Spring 2022,3,13,87,49,31,250906,STAAR - Reading
ALBANY ISD,Spring 2022,3,27,73,46,32,209901,STAAR - Reading
ALDINE ISD,Spring 2022,3,40,60,30,13,101902,STAAR - Reading
ALEDO ISD,Spring 2022,3,6,94,80,61,184907,STAAR - Reading
ALICE ISD,Spring 2022,3,36,64,36,18,125901,STAAR - Reading
ALIEF ISD (101903),Spring 2022,3,35,65,41,22,101903,STAAR - Reading
ALIEF MONTESSORI COMMUNITY SCHOOL (101815),Spring 2022,3,16,84,76,40,101815,STAAR - Reading
ALLEN ISD,Spring 2022,3,11,89,70,49,43901,STAAR - Reading
ALPINE ISD,Spring 2022,3,18,82,49,25,22901,STAAR - Reading
ALTO ISD,Spring 2022,3,19,81,44,25,37901,STAAR - Reading
ALVARADO ISD,Spring 2022,3,25,75,46,24,126901,STAAR - Reading
ALVIN ISD,Spring 2022,3,18,82,59,35,20901,STAAR - Reading
ALVORD ISD,Spring 2022,3,10,90,65,23,249901,STAAR - Reading
AMARILLO ISD,Spring 2022,3,20,80,53,30,188901,STAAR - Reading
AMBASSADORS PREPARATORY ACADEMY (084804),Spring 2022,3,24,76,33,5,84804,STAAR - Reading
AMHERST ISD,Spring 2022,3,36,64,36,9,140901,STAAR - Reading
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Spring 2022,3,18,82,54,22,101819,STAAR - Reading
ANAHUAC ISD,Spring 2022,3,44,56,33,21,36901,STAAR - Reading
ANDERSON-SHIRO CISD,Spring 2022,3,11,89,67,44,93901,STAAR - Reading
ANDREWS ISD,Spring 2022,3,15,85,59,32,2901,STAAR - Reading
ANGLETON ISD,Spring 2022,3,12,88,60,34,20902,STAAR - Reading
ANNA ISD,Spring 2022,3,20,80,53,33,43902,STAAR - Reading
ANSON ISD,Spring 2022,3,21,79,52,20,127901,STAAR - Reading
ANTHONY ISD,Spring 2022,3,33,67,21,12,71906,STAAR - Reading
ANTON ISD,Spring 2022,3,0,100,70,10,110901,STAAR - Reading
APPLE SPRINGS ISD,Spring 2022,3,19,81,44,25,228905,STAAR - Reading
AQUILLA ISD,Spring 2022,3,12,88,65,35,109912,STAAR - Reading
ARANSAS COUNTY ISD,Spring 2022,3,33,67,38,22,4901,STAAR - Reading
ARANSAS PASS ISD,Spring 2022,3,27,73,35,14,205901,STAAR - Reading
ARCHER CITY ISD,Spring 2022,3,3,97,75,36,5901,STAAR - Reading
ARGYLE ISD,Spring 2022,3,9,91,76,50,61910,STAAR - Reading
ARISTOI CLASSICAL ACADEMY (101803),Spring 2022,3,16,84,64,45,101803,STAAR - Reading
ARLINGTON CLASSICS ACADEMY,Spring 2022,3,7,93,76,54,220802,STAAR - Reading
ARLINGTON ISD,Spring 2022,3,30,70,44,25,220901,STAAR - Reading
ARP ISD,Spring 2022,3,17,83,65,44,212901,STAAR - Reading
ARROW ACADEMY,Spring 2022,3,23,77,47,31,21805,STAAR - Reading
ASPERMONT ISD,Spring 2022,3,14,86,57,57,217901,STAAR - Reading
ATHENS ISD,Spring 2022,3,25,75,54,31,107901,STAAR - Reading
ATLANTA ISD,Spring 2022,3,17,83,61,34,34901,STAAR - Reading
AUBREY ISD,Spring 2022,3,16,84,63,35,61907,STAAR - Reading
AUSTIN ACHIEVE PUBLIC SCHOOLS,Spring 2022,3,55,45,20,9,227825,STAAR - Reading
AUSTIN DISCOVERY SCHOOL,Spring 2022,3,15,85,57,36,227821,STAAR - Reading
AUSTIN ISD,Spring 2022,3,20,80,61,42,227901,STAAR - Reading
AUSTWELL-TIVOLI ISD,Spring 2022,3,29,71,50,29,196901,STAAR - Reading
AVALON ISD,Spring 2022,3,33,67,37,23,70901,STAAR - Reading
AVERY ISD,Spring 2022,3,17,83,57,40,194902,STAAR - Reading
AVINGER ISD,Spring 2022,3,29,71,71,29,34902,STAAR - Reading
AXTELL ISD,Spring 2022,3,11,89,50,25,161918,STAAR - Reading
AZLE ISD,Spring 2022,3,20,80,53,32,220915,STAAR - Reading
BAIRD ISD,Spring 2022,3,21,79,50,21,30903,STAAR - Reading
BALLINGER ISD,Spring 2022,3,18,82,47,27,200901,STAAR - Reading
BALMORHEA ISD,Spring 2022,3,0,0,0,0,195902,STAAR - Reading
BANDERA ISD,Spring 2022,3,28,72,45,26,10902,STAAR - Reading
BANGS ISD,Spring 2022,3,16,84,66,36,25901,STAAR - Reading
BANQUETE ISD,Spring 2022,3,10,90,62,33,178913,STAAR - Reading
BARBERS HILL ISD,Spring 2022,3,9,91,74,52,36902,STAAR - Reading
BARTLETT ISD,Spring 2022,3,34,66,28,3,14902,STAAR - Reading
BASIS TEXAS,Spring 2022,3,4,96,85,66,15834,STAAR - Reading
BASTROP ISD,Spring 2022,3,35,65,40,22,11901,STAAR - Reading
BAY CITY ISD,Spring 2022,3,46,54,28,15,158901,STAAR - Reading
BEATRICE MAYES INSTITUTE CHARTER SCHOOL (101847),Spring 2022,3,32,68,44,20,101847,STAAR - Reading
BEAUMONT ISD,Spring 2022,3,47,53,29,14,123910,STAAR - Reading
BECKVILLE ISD,Spring 2022,3,7,93,60,26,183901,STAAR - Reading
BEEVILLE ISD,Spring 2022,3,25,75,39,19,13901,STAAR - Reading
BELLEVUE ISD,Spring 2022,3,0,100,60,40,39904,STAAR - Reading
BELLS ISD,Spring 2022,3,10,90,71,45,91901,STAAR - Reading
BELLVILLE ISD,Spring 2022,3,21,79,40,24,8901,STAAR - Reading
COLORADO ISD,Spring 2022,3,20,80,43,25,168901,STAAR - Reading
BELTON ISD,Spring 2022,3,21,79,51,29,14903,STAAR - Reading
BEN BOLT-PALITO BLANCO ISD,Spring 2022,3,29,71,42,16,125902,STAAR - Reading
BENAVIDES ISD,Spring 2022,3,38,62,12,12,66901,STAAR - Reading
BENJAMIN ISD,Spring 2022,3,0,100,71,43,138904,STAAR - Reading
BETA ACADEMY (101870),Spring 2022,3,9,91,61,30,101870,STAAR - Reading
BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,Spring 2022,3,48,52,24,21,152806,STAAR - Reading
BEXAR COUNTY ACADEMY (015809),Spring 2022,3,48,52,29,14,15809,STAAR - Reading
BIG SANDY ISD (187901),Spring 2022,3,3,97,52,21,187901,STAAR - Reading
BIG SANDY ISD (230901),Spring 2022,3,23,78,53,38,230901,STAAR - Reading
BIG SPRING ISD,Spring 2022,3,34,66,37,19,114901,STAAR - Reading
BIG SPRINGS CHARTER SCHOOL (193801),Spring 2022,3,57,43,14,14,193801,STAAR - Reading
BIRDVILLE ISD,Spring 2022,3,21,79,55,35,220902,STAAR - Reading
BISHOP CISD,Spring 2022,3,22,78,52,35,178902,STAAR - Reading
BLACKWELL CISD,Spring 2022,3,0,100,73,36,177903,STAAR - Reading
BLANCO ISD,Spring 2022,3,24,76,47,27,16902,STAAR - Reading
BLAND ISD,Spring 2022,3,25,75,47,35,116915,STAAR - Reading
BLANKET ISD,Spring 2022,3,22,78,44,11,25904,STAAR - Reading
BLOOM ACADEMY CHARTER SCHOOL (101875),Spring 2022,3,53,47,33,12,101875,STAAR - Reading
BLOOMBURG ISD,Spring 2022,3,33,67,47,27,34909,STAAR - Reading
BLOOMING GROVE ISD,Spring 2022,3,17,83,52,22,175902,STAAR - Reading
COLUMBIA-BRAZORIA ISD,Spring 2022,3,23,77,55,34,20907,STAAR - Reading
COLUMBUS ISD,Spring 2022,3,32,68,41,22,45902,STAAR - Reading
COMAL ISD,Spring 2022,3,14,86,64,41,46902,STAAR - Reading
COMANCHE ISD,Spring 2022,3,30,70,38,20,47901,STAAR - Reading
COMFORT ISD,Spring 2022,3,22,78,38,15,130902,STAAR - Reading
COMMERCE ISD,Spring 2022,3,31,69,37,16,116903,STAAR - Reading
COMMUNITY ISD,Spring 2022,3,19,81,48,28,43918,STAAR - Reading
COMO-PICKTON CISD,Spring 2022,3,28,72,47,21,112908,STAAR - Reading
COMPASS ACADEMY CHARTER SCHOOL (068802),Spring 2022,3,18,82,59,29,68802,STAAR - Reading
COMPASS ROSE PUBLIC SCHOOLS,Spring 2022,3,51,49,27,14,15838,STAAR - Reading
COMQUEST ACADEMY (101842),Spring 2022,3,0,0,0,0,101842,STAAR - Reading
COMSTOCK ISD,Spring 2022,3,0,100,73,33,233903,STAAR - Reading
