ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type,Approaches,Meets,Masters
A W BROWN LEADERSHIP ACADEMY,Spring 2022,3,47,53,28,9,57816,STAAR - Reading,25,19,9
A+ ACADEMY,Spring 2022,3,54,46,26,13,57829,STAAR - Reading,20,13,13
ABBOTT ISD,Spring 2022,3,11,89,74,47,109901,STAAR - Reading,15,27,47
ABERNATHY ISD,Spring 2022,3,21,79,48,29,95901,STAAR - Reading,31,19,29
ABILENE ISD,Spring 2022,3,31,69,40,21,221901,STAAR - Reading,29,19,21
ACADEMY ISD,Spring 2022,3,17,83,58,36,14901,STAAR - Reading,25,22,36
ACADEMY OF ACCELERATED LEARNING INC,Spring 2022,3,40,60,34,17,101810,STAAR - Reading,26,17,17
ACADEMY OF DALLAS (057810),Spring 2022,3,67,33,17,0,57810,STAAR - Reading,16,17,0
ACCELERATED INTERMEDIATE ACADEMY,Spring 2022,3,11,89,47,16,101849,STAAR - Reading,42,31,16
ADRIAN ISD,Spring 2022,3,11,89,44,33,180903,STAAR - Reading,45,11,33
ADVANTAGE ACADEMY (057806),Spring 2022,3,54,46,25,10,57806,STAAR - Reading,21,15,10
AGUA DULCE ISD,Spring 2022,3,5,95,77,41,178901,STAAR - Reading,18,36,41
ALAMO HEIGHTS ISD,Spring 2022,3,7,93,78,57,15901,STAAR - Reading,15,21,57
ALBA-GOLDEN ISD,Spring 2022,3,13,87,49,31,250906,STAAR - Reading,38,18,31
ALBANY ISD,Spring 2022,3,27,73,46,32,209901,STAAR - Reading,27,14,32
ALDINE ISD,Spring 2022,3,40,60,30,13,101902,STAAR - Reading,30,17,13
ALEDO ISD,Spring 2022,3,6,94,80,61,184907,STAAR - Reading,14,19,61
ALICE ISD,Spring 2022,3,36,64,36,18,125901,STAAR - Reading,28,18,18
ALIEF ISD (101903),Spring 2022,3,35,65,41,22,101903,STAAR - Reading,24,19,22
ALIEF MONTESSORI COMMUNITY SCHOOL (101815),Spring 2022,3,16,84,76,40,101815,STAAR - Reading,8,36,40
ALLEN ISD,Spring 2022,3,11,89,70,49,43901,STAAR - Reading,19,21,49
ALPINE ISD,Spring 2022,3,18,82,49,25,22901,STAAR - Reading,33,24,25
ALTO ISD,Spring 2022,3,19,81,44,25,37901,STAAR - Reading,37,19,25
ALVARADO ISD,Spring 2022,3,25,75,46,24,126901,STAAR - Reading,29,22,24
ALVIN ISD,Spring 2022,3,18,82,59,35,20901,STAAR - Reading,23,24,35
ALVORD ISD,Spring 2022,3,10,90,65,23,249901,STAAR - Reading,25,42,23
AMARILLO ISD,Spring 2022,3,20,80,53,30,188901,STAAR - Reading,27,23,30
AMBASSADORS PREPARATORY ACADEMY (084804),Spring 2022,3,24,76,33,5,84804,STAAR - Reading,43,28,5
AMHERST ISD,Spring 2022,3,36,64,36,9,140901,STAAR - Reading,28,27,9
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Spring 2022,3,18,82,54,22,101819,STAAR - Reading,28,32,22
ANAHUAC ISD,Spring 2022,3,44,56,33,21,36901,STAAR - Reading,23,12,21
ANDERSON-SHIRO CISD,Spring 2022,3,11,89,67,44,93901,STAAR - Reading,22,23,44
ANDREWS ISD,Spring 2022,3,15,85,59,32,2901,STAAR - Reading,26,27,32
ANGLETON ISD,Spring 2022,3,12,88,60,34,20902,STAAR - Reading,28,26,34
ANNA ISD,Spring 2022,3,20,80,53,33,43902,STAAR - Reading,27,20,33
ANSON ISD,Spring 2022,3,21,79,52,20,127901,STAAR - Reading,27,32,20
ANTHONY ISD,Spring 2022,3,33,67,21,12,71906,STAAR - Reading,46,9,12
ANTON ISD,Spring 2022,3,0,100,70,10,110901,STAAR - Reading,30,60,10
APPLE SPRINGS ISD,Spring 2022,3,19,81,44,25,228905,STAAR - Reading,37,19,25
AQUILLA ISD,Spring 2022,3,12,88,65,35,109912,STAAR - Reading,23,30,35
ARANSAS COUNTY ISD,Spring 2022,3,33,67,38,22,4901,STAAR - Reading,29,16,22
ARANSAS PASS ISD,Spring 2022,3,27,73,35,14,205901,STAAR - Reading,38,21,14
ARCHER CITY ISD,Spring 2022,3,3,97,75,36,5901,STAAR - Reading,22,39,36
ARGYLE ISD,Spring 2022,3,9,91,76,50,61910,STAAR - Reading,15,26,50
ARISTOI CLASSICAL ACADEMY (101803),Spring 2022,3,16,84,64,45,101803,STAAR - Reading,20,19,45
ARLINGTON CLASSICS ACADEMY,Spring 2022,3,7,93,76,54,220802,STAAR - Reading,17,22,54
ARLINGTON ISD,Spring 2022,3,30,70,44,25,220901,STAAR - Reading,26,19,25
ARP ISD,Spring 2022,3,17,83,65,44,212901,STAAR - Reading,18,21,44
ARROW ACADEMY,Spring 2022,3,23,77,47,31,21805,STAAR - Reading,30,16,31
ASPERMONT ISD,Spring 2022,3,14,86,57,57,217901,STAAR - Reading,29,0,57
ATHENS ISD,Spring 2022,3,25,75,54,31,107901,STAAR - Reading,21,23,31
ATLANTA ISD,Spring 2022,3,17,83,61,34,34901,STAAR - Reading,22,27,34
AUBREY ISD,Spring 2022,3,16,84,63,35,61907,STAAR - Reading,21,28,35
AUSTIN ACHIEVE PUBLIC SCHOOLS,Spring 2022,3,55,45,20,9,227825,STAAR - Reading,25,11,9
AUSTIN DISCOVERY SCHOOL,Spring 2022,3,15,85,57,36,227821,STAAR - Reading,28,21,36
AUSTIN ISD,Spring 2022,3,20,80,61,42,227901,STAAR - Reading,19,19,42
AUSTWELL-TIVOLI ISD,Spring 2022,3,29,71,50,29,196901,STAAR - Reading,21,21,29
AVALON ISD,Spring 2022,3,33,67,37,23,70901,STAAR - Reading,30,14,23
AVERY ISD,Spring 2022,3,17,83,57,40,194902,STAAR - Reading,26,17,40
AVINGER ISD,Spring 2022,3,29,71,71,29,34902,STAAR - Reading,0,42,29
AXTELL ISD,Spring 2022,3,11,89,50,25,161918,STAAR - Reading,39,25,25
AZLE ISD,Spring 2022,3,20,80,53,32,220915,STAAR - Reading,27,21,32
BAIRD ISD,Spring 2022,3,21,79,50,21,30903,STAAR - Reading,29,29,21
BALLINGER ISD,Spring 2022,3,18,82,47,27,200901,STAAR - Reading,35,20,27
BALMORHEA ISD,Spring 2022,3,0,0,0,0,195902,STAAR - Reading,0,0,0
BANDERA ISD,Spring 2022,3,28,72,45,26,10902,STAAR - Reading,27,19,26
BANGS ISD,Spring 2022,3,16,84,66,36,25901,STAAR - Reading,18,30,36
BANQUETE ISD,Spring 2022,3,10,90,62,33,178913,STAAR - Reading,28,29,33
BARBERS HILL ISD,Spring 2022,3,9,91,74,52,36902,STAAR - Reading,17,22,52
BARTLETT ISD,Spring 2022,3,34,66,28,3,14902,STAAR - Reading,38,25,3
BASIS TEXAS,Spring 2022,3,4,96,85,66,15834,STAAR - Reading,11,19,66
BASTROP ISD,Spring 2022,3,35,65,40,22,11901,STAAR - Reading,25,18,22
BAY CITY ISD,Spring 2022,3,46,54,28,15,158901,STAAR - Reading,26,13,15
BEATRICE MAYES INSTITUTE CHARTER SCHOOL (101847),Spring 2022,3,32,68,44,20,101847,STAAR - Reading,24,24,20
BEAUMONT ISD,Spring 2022,3,47,53,29,14,123910,STAAR - Reading,24,15,14
BECKVILLE ISD,Spring 2022,3,7,93,60,26,183901,STAAR - Reading,33,34,26
BEEVILLE ISD,Spring 2022,3,25,75,39,19,13901,STAAR - Reading,36,20,19
BELLEVUE ISD,Spring 2022,3,0,100,60,40,39904,STAAR - Reading,40,20,40
BELLS ISD,Spring 2022,3,10,90,71,45,91901,STAAR - Reading,19,26,45
BELLVILLE ISD,Spring 2022,3,21,79,40,24,8901,STAAR - Reading,39,16,24
COLORADO ISD,Spring 2022,3,20,80,43,25,168901,STAAR - Reading,37,18,25
BELTON ISD,Spring 2022,3,21,79,51,29,14903,STAAR - Reading,28,22,29
BEN BOLT-PALITO BLANCO ISD,Spring 2022,3,29,71,42,16,125902,STAAR - Reading,29,26,16
BENAVIDES ISD,Spring 2022,3,38,62,12,12,66901,STAAR - Reading,50,0,12
BENJAMIN ISD,Spring 2022,3,0,100,71,43,138904,STAAR - Reading,29,28,43
BETA ACADEMY (101870),Spring 2022,3,9,91,61,30,101870,STAAR - Reading,30,31,30
BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,Spring 2022,3,48,52,24,21,152806,STAAR - Reading,28,3,21
BEXAR COUNTY ACADEMY (015809),Spring 2022,3,48,52,29,14,15809,STAAR - Reading,23,15,14
BIG SANDY ISD (187901),Spring 2022,3,3,97,52,21,187901,STAAR - Reading,45,31,21
BIG SANDY ISD (230901),Spring 2022,3,23,78,53,38,230901,STAAR - Reading,25,15,38
BIG SPRING ISD,Spring 2022,3,34,66,37,19,114901,STAAR - Reading,29,18,19
BIG SPRINGS CHARTER SCHOOL (193801),Spring 2022,3,57,43,14,14,193801,STAAR - Reading,29,0,14
BIRDVILLE ISD,Spring 2022,3,21,79,55,35,220902,STAAR - Reading,24,20,35
BISHOP CISD,Spring 2022,3,22,78,52,35,178902,STAAR - Reading,26,17,35
BLACKWELL CISD,Spring 2022,3,0,100,73,36,177903,STAAR - Reading,27,37,36
BLANCO ISD,Spring 2022,3,24,76,47,27,16902,STAAR - Reading,29,20,27
BLAND ISD,Spring 2022,3,25,75,47,35,116915,STAAR - Reading,28,12,35
BLANKET ISD,Spring 2022,3,22,78,44,11,25904,STAAR - Reading,34,33,11
BLOOM ACADEMY CHARTER SCHOOL (101875),Spring 2022,3,53,47,33,12,101875,STAAR - Reading,14,21,12
BLOOMBURG ISD,Spring 2022,3,33,67,47,27,34909,STAAR - Reading,20,20,27
BLOOMING GROVE ISD,Spring 2022,3,17,83,52,22,175902,STAAR - Reading,31,30,22
COLUMBIA-BRAZORIA ISD,Spring 2022,3,23,77,55,34,20907,STAAR - Reading,22,21,34
COLUMBUS ISD,Spring 2022,3,32,68,41,22,45902,STAAR - Reading,27,19,22
COMAL ISD,Spring 2022,3,14,86,64,41,46902,STAAR - Reading,22,23,41
COMANCHE ISD,Spring 2022,3,30,70,38,20,47901,STAAR - Reading,32,18,20
COMFORT ISD,Spring 2022,3,22,78,38,15,130902,STAAR - Reading,40,23,15
COMMERCE ISD,Spring 2022,3,31,69,37,16,116903,STAAR - Reading,32,21,16
COMMUNITY ISD,Spring 2022,3,19,81,48,28,43918,STAAR - Reading,33,20,28
COMO-PICKTON CISD,Spring 2022,3,28,72,47,21,112908,STAAR - Reading,25,26,21
COMPASS ACADEMY CHARTER SCHOOL (068802),Spring 2022,3,18,82,59,29,68802,STAAR - Reading,23,30,29
COMPASS ROSE PUBLIC SCHOOLS,Spring 2022,3,51,49,27,14,15838,STAAR - Reading,22,13,14
COMQUEST ACADEMY (101842),Spring 2022,3,0,0,0,0,101842,STAAR - Reading,0,0,0
COMSTOCK ISD,Spring 2022,3,0,100,73,33,233903,STAAR - Reading,27,40,33
CONNALLY ISD,Spring 2022,3,37,63,28,13,161921,STAAR - Reading,35,15,13
CONROE ISD,Spring 2022,3,16,84,63,42,170902,STAAR - Reading,21,21,42
COOLIDGE ISD,Spring 2022,3,0,100,67,43,147901,STAAR - Reading,33,24,43
COOPER ISD,Spring 2022,3,28,72,53,28,60902,STAAR - Reading,19,25,28
COPPELL ISD,Spring 2022,3,9,91,74,54,57922,STAAR - Reading,17,20,54
COPPERAS COVE ISD,Spring 2022,3,19,81,51,28,50910,STAAR - Reading,30,23,28
CORPUS CHRISTI ISD,Spring 2022,3,26,74,48,26,178904,STAAR - Reading,26,22,26
CHISUM ISD,Spring 2022,3,11,89,73,36,139905,STAAR - Reading,16,37,36
CHRISTOVAL ISD,Spring 2022,3,3,97,82,65,226901,STAAR - Reading,15,17,65
CISCO ISD,Spring 2022,3,15,85,61,39,67902,STAAR - Reading,24,22,39
CITY VIEW ISD,Spring 2022,3,30,70,41,17,243906,STAAR - Reading,29,24,17
CITYSCAPE SCHOOLS,Spring 2022,3,46,54,29,10,57841,STAAR - Reading,25,19,10
CLARENDON ISD,Spring 2022,3,15,85,61,36,65901,STAAR - Reading,24,25,36
CLARKSVILLE ISD,Spring 2022,3,31,69,36,17,194904,STAAR - Reading,33,19,17
CLAUDE ISD,Spring 2022,3,3,97,77,52,6902,STAAR - Reading,20,25,52
CLEAR CREEK ISD,Spring 2022,3,15,85,62,41,84910,STAAR - Reading,23,21,41
CLEBURNE ISD,Spring 2022,3,25,75,43,22,126903,STAAR - Reading,32,21,22
CLEVELAND ISD,Spring 2022,3,39,61,28,12,146901,STAAR - Reading,33,16,12
CLIFTON ISD,Spring 2022,3,13,87,55,37,18901,STAAR - Reading,32,18,37
CLINT ISD,Spring 2022,3,33,67,38,17,71901,STAAR - Reading,29,21,17
CLYDE CISD,Spring 2022,3,23,77,45,24,30902,STAAR - Reading,32,21,24
COAHOMA ISD,Spring 2022,3,20,80,56,28,114902,STAAR - Reading,24,28,28
COLDSPRING-OAKHURST CISD,Spring 2022,3,27,73,45,24,204901,STAAR - Reading,28,21,24
COLEMAN ISD,Spring 2022,3,29,71,38,28,42901,STAAR - Reading,33,10,28
COLLEGE STATION ISD,Spring 2022,3,16,84,60,39,21901,STAAR - Reading,24,21,39
